StudyID;Series_ID;Year;Abundance
139;139.1;1997,00;58511,73
139;139.1;1998,00;152382,09
139;139.1;1999,00;39817,30
139;139.1;2000,00;28704,64
139;139.1;2001,00;92885,94
139;139.1;2002,00;19793,54
139;139.1;2003,00;52048,35
139;139.1;2004,00;62380,78
139;139.1;2005,00;29109,10
139;139.1;2006,00;12223,30
139;139.1;2007,00;13222,33
139;139.1;2008,00;29856,60
139;139.1;2009,00;45997,64
139;139.1;2010,00;135947,43
139;139.1;2011,00;23959,63
139;139.1;2012,00;41086,35
139;139.1;2013,00;53576,08
139;139.1;2014,00;53210,35
139;139.1;2015,00;19562,80
139;139.2;1997,00;28883,34
139;139.2;1998,00;22979,45
139;139.2;1999,00;16500,36
139;139.2;2000,00;10402,74
139;139.2;2001,00;21327,68
139;139.2;2002,00;12184,10
139;139.2;2003,00;19796,76
139;139.2;2004,00;13134,39
139;139.2;2005,00;14072,81
139;139.2;2006,00;14119,53
139;139.2;2007,00;44509,04
139;139.2;2008,00;2411,76
139;139.2;2009,00;8826,64
139;139.2;2010,00;61919,31
139;139.2;2011,00;31973,79
139;139.2;2012,00;13368,94
139;139.2;2013,00;12754,11
139;139.2;2014,00;15582,26
139;139.2;2015,00;7021,35
139;139.3;1997,00;5321,92
139;139.3;1998,00;14667,31
139;139.3;1999,00;34203,06
139;139.3;2000,00;44148,40
139;139.3;2001,00;3131,43
139;139.3;2002,00;10273,08
139;139.3;2003,00;12960,99
139;139.3;2004,00;8470,15
139;139.3;2005,00;26553,42
139;139.3;2006,00;24669,23
139;139.3;2007,00;29967,80
139;139.3;2008,00;2973,17
139;139.3;2009,00;20400,86
139;139.3;2010,00;18919,05
139;139.3;2011,00;9182,09
139;139.3;2012,00;51587,05
139;139.3;2013,00;8327,59
139;139.3;2014,00;6083,19
139;139.3;2015,00;5195,06
139;139.4;1997,00;21,12
139;139.4;1998,00;1112,03
139;139.4;1999,00;2810,08
139;139.4;2000,00;1778,61
139;139.4;2001,00;97,30
139;139.4;2002,00;1665,67
139;139.4;2003,00;5862,41
139;139.4;2004,00;8727,57
139;139.4;2005,00;1457,62
139;139.4;2006,00;3525,34
139;139.4;2007,00;2871,90
139;139.4;2009,00;5316,27
139;139.4;2010,00;468,25
139;139.4;2011,00;475,49
139;139.4;2012,00;2734,73
139;139.4;2013,00;758,39
139;139.4;2014,00;3771,20
139;139.4;2015,00;738,26
139;139.4;2018,00;326,27
185;185.1;1991,00;0,60
185;185.1;1992,00;0,60
185;185.1;1993,00;0,59
185;185.1;1994,00;0,56
185;185.1;1995,00;0,53
185;185.1;1996,00;0,53
185;185.1;1997,00;0,53
185;185.1;1998,00;0,51
185;185.1;1999,00;0,51
185;185.1;2000,00;0,51
185;185.1;2001,00;0,53
185;185.1;2002,00;0,56
185;185.1;2003,00;0,58
185;185.1;2004,00;0,61
185;185.1;2005,00;0,62
185;185.1;2006,00;0,62
185;185.1;2007,00;0,65
185;185.1;2008,00;0,67
185;185.1;2009,00;0,64
185;185.1;2010,00;0,61
185;185.1;2011,00;0,58
185;185.1;2012,00;0,57
185;185.1;2013,00;0,54
185;185.1;2014,00;0,48
185;185.1;2015,00;0,44
185;185.2;1993,00;0,44
185;185.2;1994,00;0,46
185;185.2;1995,00;0,48
185;185.2;1996,00;0,50
185;185.2;1997,00;0,52
185;185.2;1998,00;0,54
185;185.2;1999,00;0,56
185;185.2;2000,00;0,57
185;185.2;2001,00;0,61
185;185.2;2002,00;0,65
185;185.2;2003,00;0,68
185;185.2;2004,00;0,72
185;185.2;2005,00;0,74
185;185.2;2006,00;0,74
185;185.2;2007,00;0,74
185;185.2;2008,00;0,75
185;185.2;2009,00;0,75
185;185.2;2010,00;0,74
185;185.2;2011,00;0,73
185;185.2;2012,00;0,72
185;185.2;2013,00;0,69
185;185.2;2014,00;0,65
185;185.3;1991,00;0,81
185;185.3;1992,00;0,79
185;185.3;1993,00;0,79
185;185.3;1994,00;0,78
185;185.3;1995,00;0,78
185;185.3;1996,00;0,76
185;185.3;1997,00;0,74
185;185.3;1998,00;0,74
185;185.3;1999,00;0,74
185;185.3;2000,00;0,73
185;185.3;2001,00;0,71
185;185.3;2002,00;0,68
185;185.3;2003,00;0,65
185;185.3;2004,00;0,62
185;185.3;2005,00;0,62
185;185.3;2006,00;0,60
185;185.3;2007,00;0,57
185;185.3;2008,00;0,56
185;185.3;2009,00;0,55
185;185.3;2010,00;0,54
185;185.3;2011,00;0,53
185;185.3;2012,00;0,54
185;185.3;2013,00;0,56
185;185.3;2014,00;0,61
185;185.4;1990,00;0,30
185;185.4;1991,00;0,29
185;185.4;1992,00;0,24
185;185.4;1993,00;0,17
185;185.4;1994,00;0,13
185;185.4;1995,00;0,13
185;185.4;1996,00;0,14
185;185.4;1997,00;0,16
185;185.4;1998,00;0,19
185;185.4;1999,00;0,22
185;185.4;2000,00;0,25
185;185.4;2001,00;0,26
185;185.4;2002,00;0,26
185;185.4;2003,00;0,27
185;185.4;2004,00;0,29
185;185.4;2005,00;0,28
185;185.4;2006,00;0,27
185;185.4;2007,00;0,26
185;185.4;2008,00;0,27
185;185.4;2009,00;0,28
185;185.4;2010,00;0,27
185;185.4;2011,00;0,25
185;185.4;2012,00;0,25
185;185.4;2013,00;0,25
185;185.4;2014,00;0,26
194;194.1;1990,00;0,16
194;194.1;1991,00;0,03
194;194.1;1992,00;0,01
194;194.1;1993,00;0,06
194;194.1;1994,00;0,20
194;194.1;1995,00;0,05
194;194.1;1996,00;0,12
194;194.1;1997,00;0,13
194;194.1;1998,00;0,09
194;194.1;1999,00;0,09
194;194.1;2000,00;0,26
194;194.1;2001,00;0,36
194;194.1;2002,00;0,95
194;194.1;2003,00;0,27
194;194.1;2004,00;0,54
194;194.1;2005,00;0,75
194;194.1;2006,00;0,55
194;194.1;2007,00;0,59
194;194.1;2008,00;0,31
194;194.1;2009,00;0,56
194;194.1;2010,00;0,29
194;194.2;1990,00;3,26
194;194.2;1991,00;3,89
194;194.2;1992,00;2,18
194;194.2;1993,00;2,69
194;194.2;1994,00;4,15
194;194.2;1995,00;5,03
194;194.2;1996,00;6,94
194;194.2;1997,00;7,31
194;194.2;1998,00;3,37
194;194.2;1999,00;3,32
194;194.2;2000,00;3,06
194;194.2;2001,00;1,76
194;194.2;2002,00;1,92
194;194.2;2003,00;2,64
194;194.2;2004,00;3,94
194;194.2;2005,00;6,42
194;194.2;2006,00;5,49
194;194.2;2007,00;4,97
194;194.2;2008,00;4,97
194;194.2;2009,00;9,38
194;194.2;2010,00;8,39
194;194.3;1990,00;1,35
194;194.3;1991,00;0,74
194;194.3;1992,00;1,11
194;194.3;1993,00;0,86
194;194.3;1994,00;0,73
194;194.3;1995,00;0,67
194;194.3;1996,00;0,86
194;194.3;1997,00;1,16
194;194.3;1998,00;0,88
194;194.3;1999,00;0,43
194;194.3;2000,00;0,67
194;194.3;2001,00;0,19
194;194.3;2002,00;0,25
194;194.3;2003,00;0,36
194;194.3;2004,00;0,77
194;194.3;2005,00;0,64
194;194.3;2006,00;1,07
194;194.3;2007,00;0,59
194;194.3;2008,00;0,35
194;194.3;2009,00;0,29
194;194.3;2010,00;0,35
215;215.1;1965,00;333,03
215;215.1;1966,00;314,93
215;215.1;1967,00;289,59
215;215.1;1968,00;206,33
215;215.1;1970,00;155,66
215;215.1;1971,00;199,10
215;215.1;1972,00;220,81
215;215.1;1973,00;333,03
215;215.1;1974,00;304,07
215;215.1;1975,00;376,47
215;215.1;1977,00;361,99
215;215.1;1978,00;390,95
215;215.1;1979,00;499,55
215;215.1;1980,00;669,68
215;215.1;1981,00;705,88
215;215.1;1982,00;579,19
215;215.1;1983,00;419,91
215;215.1;1984,00;401,81
215;215.1;1985,00;517,65
215;215.1;1986,00;622,62
215;215.1;1987,00;781,90
215;215.1;1988,00;814,48
215;215.1;1989,00;814,48
215;215.1;1990,00;666,06
215;215.1;1991,00;506,79
215;215.1;1992,00;608,14
215;215.1;1993,00;658,82
215;215.1;1994,00;810,86
215;215.1;1995,00;789,14
215;215.1;1996,00;459,73
215;215.1;1997,00;470,59
215;215.1;1998,00;474,21
215;215.1;1999,00;389,14
215;215.1;2000,00;347,51
215;215.1;2001,00;398,19
215;215.1;2002,00;477,83
215;215.1;2004,00;327,60
215;215.1;2006,00;316,74
215;215.1;2007,00;390,95
215;215.1;2008,00;409,05
215;215.1;2009,00;369,23
215;215.1;2010,00;365,61
215;215.1;2011,00;271,49
215;215.1;2012,00;159,28
215;215.2;1965,00;22,76
215;215.2;1966,00;34,15
215;215.2;1967,00;38,41
215;215.2;1968,00;66,87
215;215.2;1969,00;89,63
215;215.2;1970,00;159,35
215;215.2;1971,00;170,73
215;215.2;1972,00;196,34
215;215.2;1973,00;267,48
215;215.2;1974,00;332,93
215;215.2;1976,00;283,13
215;215.2;1977,00;258,94
215;215.2;1978,00;258,94
215;215.2;1979,00;233,33
215;215.2;1980,00;155,08
215;215.2;1981,00;125,20
215;215.2;1983,00;189,23
215;215.2;1984,00;81,10
215;215.2;1985,00;69,72
215;215.2;1986,00;91,06
215;215.2;1987,00;118,09
215;215.2;1989,00;116,67
215;215.2;1990,00;64,02
215;215.2;1991,00;61,18
215;215.2;1992,00;109,55
215;215.2;1993,00;119,51
215;215.2;1994,00;92,48
215;215.2;1995,00;113,82
215;215.2;1996,00;78,25
215;215.2;1998,00;106,71
215;215.2;2000,00;72,56
215;215.2;2001,00;69,72
215;215.2;2002,00;52,64
215;215.2;2004,00;91,06
215;215.2;2005,00;91,06
215;215.2;2006,00;112,40
215;215.2;2007,00;68,29
215;215.2;2008,00;71,14
215;215.2;2009,00;58,33
215;215.2;2010,00;73,27
215;215.2;2011,00;75,41
215;215.3;1965,00;67,42
215;215.3;1966,00;40,40
215;215.3;1968,00;31,44
215;215.3;1969,00;38,64
215;215.3;1970,00;75,00
215;215.3;1971,00;54,55
215;215.3;1972,00;59,09
215;215.3;1973,00;70,45
215;215.3;1974,00;34,09
215;215.3;1975,00;18,94
215;215.3;1976,00;31,82
215;215.3;1978,00;32,20
215;215.3;1979,00;28,03
215;215.3;1981,00;2,27
215;215.3;1982,00;3,79
215;215.3;1983,00;0,00
215;215.3;1984,00;25,76
215;215.3;1985,00;18,94
215;215.3;1987,00;56,06
215;215.3;1988,00;25,76
215;215.3;1989,00;43,18
215;215.3;1990,00;40,15
215;215.3;1992,00;52,27
215;215.3;1994,00;25,00
215;215.3;1995,00;27,27
215;215.3;1996,00;21,21
215;215.3;1998,00;28,79
215;215.3;1999,00;66,67
215;215.3;2000,00;19,70
215;215.3;2002,00;31,06
215;215.3;2003,00;17,42
215;215.3;2004,00;58,33
215;215.3;2006,00;42,42
215;215.3;2007,00;115,91
215;215.3;2009,00;64,39
215;215.3;2010,00;112,88
215;215.3;2011,00;144,70
245;245.1;1997,00;454,69
245;245.1;1998,00;452,34
245;245.1;1999,00;346,88
245;245.1;2000,00;187,50
245;245.1;2001,00;192,19
245;245.2;1997,00;193,02
245;245.2;1998,00;195,35
245;245.2;1999,00;176,74
245;245.2;2000,00;167,44
245;245.2;2001,00;116,28
284;284.1;2005,00;367826,09
284;284.1;2006,00;662608,70
284;284.1;2007,00;631304,35
284;284.1;2008,00;440869,57
284;284.1;2009,00;206086,96
284;284.1;2010,00;109565,22
284;284.1;2011,00;109565,22
356;356.1;1987,00;22,24
356;356.1;1988,00;22,42
356;356.1;1989,00;18,87
356;356.1;1990,00;20,38
356;356.1;1992,00;19,84
356;356.1;1993,00;17,53
356;356.1;1994,00;15,22
356;356.1;1995,00;16,47
356;356.1;1996,00;13,27
356;356.1;1997,00;12,56
356;356.1;1998,00;10,69
356;356.1;1999,00;10,07
356;356.1;2000,00;10,69
356;356.1;2001,00;10,24
356;356.1;2002,00;8,91
356;356.1;2003,00;8,82
356;356.1;2004,00;8,64
356;356.1;2005,00;11,31
368;368.1;2003,00;21,97
368;368.1;2004,00;5,64
368;368.1;2005,00;3,87
368;368.1;2006,00;3,70
368;368.1;2007,00;2,64
368;368.1;2008,00;2,22
368;368.1;2009,00;3,64
368;368.1;2010,00;1,16
368;368.2;2003,00;4,86
368;368.2;2004,00;0,91
368;368.2;2005,00;0,71
368;368.2;2006,00;0,78
368;368.2;2007,00;0,47
368;368.2;2008,00;0,24
368;368.2;2009,00;0,57
368;368.2;2010,00;1,49
368;368.2;2011,00;0,27
368;368.3;2003,00;14,80
368;368.3;2004,00;8,90
368;368.3;2005,00;4,79
368;368.3;2006,00;9,95
368;368.3;2007,00;3,82
368;368.3;2008,00;2,97
368;368.3;2009,00;3,23
368;368.3;2010,00;0,39
368;368.4;2003,00;8,84
368;368.4;2004,00;3,26
368;368.4;2005,00;0,64
368;368.4;2006,00;2,33
368;368.4;2007,00;1,05
368;368.4;2008,00;0,87
368;368.4;2009,00;1,92
368;368.4;2010,00;0,81
368;368.5;2003,00;3,61
368;368.5;2004,00;1,90
368;368.5;2005,00;0,99
368;368.5;2006,00;0,78
368;368.5;2007,00;0,65
368;368.5;2008,00;7,07
368;368.5;2009,00;4,05
368;368.5;2010,00;4,90
368;368.6;2003,00;3,29
368;368.6;2004,00;1,32
