"","ID","Species","Year","Author","Location","Latitude","Longitude","Data_source_type"
"1","LPD 6952","Larus fuscus",1950,"{Institut Català d’Ornitologia, 1996-2007 #2903}","Ebro delta, Spain",40.71028,"0.84417","Secondary source"
"2","LPD 6927","Plegadis falcinellus",1950,"{Institut Català d’Ornitologia, 1996-2007 #2903}","Ebro delta, Spain",40.71028,"0.84417","Secondary source"
"3","LPD 6902","Thalasseus sandvicensis",1950,"{Dies, 2004 #2199}","Albufera de Valencia",39.333504,"-0.346729","Secondary source"
"4","LPD 6952","Larus fuscus",1951,"{Institut Català d’Ornitologia, 1996-2007 #2903}","Ebro delta, Spain",40.71028,"0.84417","Secondary source"
"5","LPD 6927","Plegadis falcinellus",1951,"{Institut Català d’Ornitologia, 1996-2007 #2903}","Ebro delta, Spain",40.71028,"0.84417","Secondary source"
"6","LPD 6902","Thalasseus sandvicensis",1951,"{Dies, 2004 #2199}","Albufera de Valencia",39.333504,"-0.346729","Secondary source"
"7","LPD 6952","Larus fuscus",1952,"{Institut Català d’Ornitologia, 1996-2007 #2903}","Ebro delta, Spain",40.71028,"0.84417","Secondary source"
"8","LPD 6927","Plegadis falcinellus",1952,"{Institut Català d’Ornitologia, 1996-2007 #2903}","Ebro delta, Spain",40.71028,"0.84417","Secondary source"
"9","LPD 6907","Ardea cinerea",1952,"{de Juana, 2004 #2200}","Spain",40.43333,"-4.41667","Unknown"
"10","LPD 6902","Thalasseus sandvicensis",1952,"{Dies, 2004 #2199}","Albufera de Valencia",39.333504,"-0.346729","Secondary source"
"11","LPD 543","Cervus elaphus",1952,"{Escos, 1992 #386}","The Park of Sierras de Cazorla y Segura, Spain",37.91667,"-2.91667","Journal"
"12","LPD 6952","Larus fuscus",1953,"{Institut Català d’Ornitologia, 1996-2007 #2903}","Ebro delta, Spain",40.71028,"0.84417","Secondary source"
"13","LPD 6927","Plegadis falcinellus",1953,"{Institut Català d’Ornitologia, 1996-2007 #2903}","Ebro delta, Spain",40.71028,"0.84417","Secondary source"
"14","LPD 6902","Thalasseus sandvicensis",1953,"{Dies, 2004 #2199}","Albufera de Valencia",39.333504,"-0.346729","Secondary source"
"15","LPD 603","Ovis aries",1953,"{Escos, 1992 #386}","The Park of Sierras de Cazorla y Segura, Spain",37.91667,"-2.91667","Journal"
"16","LPD 556","Dama dama",1953,"{Escos, 1992 #386}","The Park of Sierras de Cazorla y Segura, Spain",37.91667,"-2.91667","Journal"
