StudyID;Series_ID;Species;Username;Date_created;Data_source_type;Source_year;DOI;Author;Journal;Class;Order;Family;Subspecies;Location;Country;Latitude;Longitude;Accurancy;Protected;System;Units;Method;Year_start;Year_end;Primary_threat;Type of disturbance;Threat_start;Threat_end;Recurrence;Secondary_threat;Type of disturbance;Threat_start;Threat_end;Recurrence;Tertiary_threat;Type of disturbance;Threat_start;Threat_end;Recurrence;Fourth_threat;Type of disturbance;Threat_start;Threat_end;Recurrence;Fifth_threat;Type of disturbance;Threat_start;Threat_end;Recurrence;
4;4.1;Canis lupus;Amalia;1/11/21;Journal;2020;10.2981/wlb.00594;Fernandez-Gil et al.;BioOne;Mammalia;Carnivora;Canidae;;Cantabrian Mountains;Spain;4.319.751;-485.165;Approx;No;Terrestrial;Abundance (pack size);Direct observations and snow tracks in winter;2000;2018;Human related mortality;Hunting/culling;;;;;;;;;;;;;;;;;;;;;;;;
7;7.1;Pelophylax perezi;Amalia;1/11/21;Journal;2020;10.1111/1749-4877.12449;Capellá-Marzo et al.;Integrative Zoology;Amphibia;Anura;Ranidae;;Madrid;Spain;408.531;-6.449;Exact;No;Freshwater;Male abundance;Capture/recapture at night;2010;2019;Global change;Drought periods and shorter hydroperiods;2012;;;Genetic problems;Bottleneck;;;;;;;;;;;;;;;;;;;
13;13.1;Gobio lozanoi;robertoP;11/4/22;Journal;2020;10.1016/j.scitotenv.2020.138989;Sánchez-Pérez et al.;STOTEN;Actinopterygii;Cypriniformes;Cyprinidae;;Río Mundo, Hijar-Lietor;Spain;39;-2;approx;;Freshwater;CPUE;Electrofishing;2008;2015;Invasive species;press;;;;Habitat alteration;press;;;;;;;;;;;;;;;;;;;
13;13.11;Gobio lozanoi;robertoP;11/4/22;Journal;2020;10.1016/j.scitotenv.2020.138989;Sánchez-Pérez et al.;STOTEN;Actinopterygii;Cypriniformes;Cyprinidae;;Río Segura,Camping (Tramo Anchuricas - Fuensanta);Spain;3.841.576;-2;approx;;Freshwater;CPUE;Electrofishing;2008;2015;Invasive species;press;;;;Habitat alteration;press;;;;;;;;;;;;;;;;;;;
13;13.12;Luciobarbus sclateri;robertoP;11/4/22;Journal;2020;10.1016/j.scitotenv.2020.138989;Sánchez-Pérez et al.;STOTEN;Actinopterygii;Cypriniformes;Cyprinidae;;Río Segura,Camping (Tramo Anchuricas - Fuensanta);Spain;3.841.576;-2;approx;;Freshwater;CPUE;Electrofishing;2008;2015;Invasive species;press;;;;Habitat alteration;press;;;;;;;;;;;;;;;;;;;
13;13.13;Gobio lozanoi;robertoP;11/4/22;Journal;2020;10.1016/j.scitotenv.2020.138989;Sánchez-Pérez et al.;STOTEN;Actinopterygii;Cypriniformes;Cyprinidae;;Río Segura, Letur;Spain;3.840.821;-2;approx;;Freshwater;CPUE;Electrofishing;2008;2015;Invasive species;press;;;;Habitat alteration;press;;;;;;;;;;;;;;;;;;;
13;13.14;Luciobarbus sclateri;robertoP;11/4/22;Journal;2020;10.1016/j.scitotenv.2020.138989;Sánchez-Pérez et al.;STOTEN;Actinopterygii;Cypriniformes;Cyprinidae;;Río Segura, Letur;Spain;3.840.821;-2;approx;;Freshwater;CPUE;Electrofishing;2008;2015;Invasive species;press;;;;Habitat alteration;press;;;;;;;;;;;;;;;;;;;
13;13.15;Alburnus alburnus;robertoP;11/4/22;Journal;2020;10.1016/j.scitotenv.2020.138989;Sánchez-Pérez et al.;STOTEN;Actinopterygii;Cypriniformes;Cyprinidae;;Río Segura, El Gallego (Coto de Pesca);Spain;3.841.074;-200.898;approx;;Freshwater;CPUE;Electrofishing;2008;2015;Invasive species;press;;;;Habitat alteration;press;;;;;;;;;;;;;;;;;;;
13;13.16;Gobio lozanoi;robertoP;11/4/22;Journal;2020;10.1016/j.scitotenv.2020.138989;Sánchez-Pérez et al.;STOTEN;Actinopterygii;Cypriniformes;Cyprinidae;;Río Segura, El Gallego (Coto de Pesca);Spain;3.841.074;-200.898;approx;;Freshwater;CPUE;Electrofishing;2008;2015;Invasive species;press;;;;Habitat alteration;press;;;;;;;;;;;;;;;;;;;
13;13.17;Luciobarbus sclateri;robertoP;11/4/22;Journal;2020;10.1016/j.scitotenv.2020.138989;Sánchez-Pérez et al.;STOTEN;Actinopterygii;Cypriniformes;Cyprinidae;;Río Segura, El Gallego (Coto de Pesca);Spain;3,841,074,329;-2,008,976,051;approx;;Freshwater;CPUE;Electrofishing;2008;2015;Invasive species;press;;;;Habitat alteration;press;;;;;;;;;;;;;;;;;;;
13;13.18;Gobio lozanoi;robertoP;11/4/22;Journal;2020;10.1016/j.scitotenv.2020.138989;Sánchez-Pérez et al.;STOTEN;Actinopterygii;Cypriniformes;Cyprinidae;;Río Segura, Tramo bajo Cenajo;Spain;3.836.561;-177.805;approx;;Freshwater;CPUE;Electrofishing;2008;2015;Invasive species;press;;;;Habitat alteration;press;;;;;;;;;;;;;;;;;;;
13;13.19;Luciobarbus sclateri;robertoP;11/4/22;Journal;2020;10.1016/j.scitotenv.2020.138989;Sánchez-Pérez et al.;STOTEN;Actinopterygii;Cypriniformes;Cyprinidae;;Río Segura, Tramo bajo Cenajo;Spain;3.836.561;-177.805;approx;;Freshwater;CPUE;Electrofishing;2008;2015;Invasive species;press;;;;Habitat alteration;press;;;;;;;;;;;;;;;;;;;
13;13.2;Luciobarbus sclateri;robertoP;11/4/22;Journal;2020;10.1016/j.scitotenv.2020.138989;Sánchez-Pérez et al.;STOTEN;Actinopterygii;Cypriniformes;Cyprinidae;;Río Mundo, Hijar-Lietor;Spain;39;-2;approx;;Freshwater;CPUE;Electrofishing;2008;2015;Invasive species;press;;;;Habitat alteration;press;;;;;;;;;;;;;;;;;;;
13;13.21;Luciobarbus sclateri;robertoP;11/4/22;Journal;2020;10.1016/j.scitotenv.2020.138989;Sánchez-Pérez et al.;STOTEN;Actinopterygii;Cypriniformes;Cyprinidae;;Río Segura, Las Minas;Spain;3.832.673;-168.328;approx;;Freshwater;CPUE;Electrofishing;2008;2015;Invasive species;press;;;;Habitat alteration;press;;;;;;;;;;;;;;;;;;;
13;13.22;Pseudochondrostoma polylepis;robertoP;11/4/22;Journal;2020;10.1016/j.scitotenv.2020.138989;Sánchez-Pérez et al.;STOTEN;Actinopterygii;Cypriniformes;Cyprinidae;;Río Segura, Las Minas;Spain;3.832.673;-168.328;approx;;Freshwater;CPUE;Electrofishing;2008;2015;Invasive species;press;;;;Habitat alteration;press;;;;;;;;;;;;;;;;;;;
13;13.23;Alburnus alburnus;robertoP;11/4/22;Journal;2020;10.1016/j.scitotenv.2020.138989;Sánchez-Pérez et al.;STOTEN;Actinopterygii;Cypriniformes;Cyprinidae;;Río Segura, Azud Cañaverosa;Spain;3,828,085,845;-1,714,071,141;approx;;Freshwater;CPUE;Electrofishing;2008;2015;Invasive species;press;;;;Habitat alteration;press;;;;;;;;;;;;;;;;;;;
